classification_fixed_id,clause_fixed_id,clauses,clause_description,parent_classification_name,classification,classification_level,next_down_classification_fixed_id,next_up_classification_fixed_id,operative_from,operative_to,version_number,last_modified_datetime,published_year
88481,22657,18.4(a) - Junior other than office,Junior employees (other than office juniors),,Level 5*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88520,22667,18.4(b) - Junior office employees,Junior office employees,,Level 2*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88493,22667,18.4(b) - Junior office employees,Junior office employees,,Introductory Level*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88377,22657,18.4(a) - Junior other than office,Junior employees (other than office juniors),,Introductory Level*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88444,22657,18.4(a) - Junior other than office,Junior employees (other than office juniors),,Level 2*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88475,22657,18.4(a) - Junior other than office,Junior employees (other than office juniors),,Level 4*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88561,22667,18.4(b) - Junior office employees,Junior office employees,,Level 5*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88449,22657,18.4(a) - Junior other than office,Junior employees (other than office juniors),,Level 3*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88609,22672,18.4(a) - Junior Casino gaming,Junior employees,,Introductory Level*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88636,22672,18.4(a) - Junior Casino gaming,Junior employees,,Level 4*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88392,22657,18.4(a) - Junior other than office,Junior employees (other than office juniors),,Level 1*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88554,22667,18.4(b) - Junior office employees,Junior office employees,,Level 4*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88553,22667,18.4(b) - Junior office employees,Junior office employees,,Level 3*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88627,22672,18.4(a) - Junior Casino gaming,Junior employees,,Level 3A*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88623,22672,18.4(a) - Junior Casino gaming,Junior employees,,Level 3*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88619,22672,18.4(a) - Junior Casino gaming,Junior employees,,Level 2*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88644,22672,18.4(a) - Junior Casino gaming,Junior employees,,Level 6*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88615,22672,18.4(a) - Junior Casino gaming,Junior employees,,Level 1*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
88640,22672,18.4(a) - Junior Casino gaming,Junior employees,,Level 5*,,,,1/07/2023,,3,2023-06-02T08:37:38+00:00,2023
108883,27952,I.5.2*_LoadedRates,For penalty table I.5.2,,Level 3,1,,108884,1/07/2023,,4,2023-06-19T11:07:30+00:00,2023
88391,22657,18.4(a) - Junior other than office,Junior employees (other than office juniors),Introductory Level,20 years of age,1,,88442,1/07/2023,,5,2023-06-02T08:37:38+00:00,2023
88519,22667,18.4(b) - Junior office employees,Junior office employees,Introductory,20 years of age,1,,88526,1/07/2023,,5,2023-06-02T08:37:38+00:00,2023
108887,27953,I.5.3*_LoadedRates - Casino gaming employees,For penalty table I.5.3,,Level 3,1,,108889,1/07/2023,,5,2023-06-19T11:07:48+00:00,2023
88614,22672,18.4(a) - Junior Casino gaming,Junior employees,Introductory level,20 years of age,1,,88618,1/07/2023,,5,2023-06-02T08:37:38+00:00,2023
292,13,18.3,Casino Gaming Employees,,Introductory level,1,,293,1/07/2023,,5,2023-06-02T08:37:38+00:00,2023
88390,22657,18.4(a) - Junior other than office,Junior employees (other than office juniors),Introductory Level,19 years of age,1,,88441,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
91139,22672,18.4(a) - Junior Casino gaming,Junior employees,Introductory level,19 years of age,1,,88617,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
108888,27953,I.5.3*_LoadedRates - Casino gaming employees,For penalty table I.5.3,,Level 3A,1,,108889,1/07/2023,,5,2023-06-19T11:07:48+00:00,2023
90436,22697,19.1(b),Cooking apprentices,55%,1st year,1,,90437,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
88518,22667,18.4(b) - Junior office employees,Junior office employees,Introductory,19 years of age,1,,88525,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
88612,22672,18.4(a) - Junior Casino gaming,Junior employees,Introductory level,18 years of age,1,,88616,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
88516,22667,18.4(b) - Junior office employees,Junior office employees,Introductory,17 years of age,1,,88523,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
88379,22657,18.4(a) - Junior other than office,Junior employees (other than office juniors),Introductory Level,17 years of age,1,,88394,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
88710,22702,19.5 - Adult cooking apprentices,Adult cooking apprentices,,1st year,1,,88709,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
88714,22703,19.5 - Adult waiting apprentices,Adult waiting apprentices,,1st 6 months,1,,88717,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
242,11,18.1,Hospitality Employees,,Introductory level,1,,243,1/07/2023,,5,2023-06-02T08:37:38+00:00,2023
88378,22657,18.4(a) - Junior other than office,Junior employees (other than office juniors),Introductory Level,16 years of age and under,1,,88393,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
88517,22667,18.4(b) - Junior office employees,Junior office employees,Introductory,18 years of age,1,,88524,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
88515,22667,18.4(b) - Junior office employees,Junior office employees,Introductory,16 years of age,1,,88522,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
311,14,18.2,Managerial Staff (Hotels),,Managerial staff (Hotels),1,,,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
88389,22657,18.4(a) - Junior other than office,Junior employees (other than office juniors),Introductory Level,18 years of age,1,,88395,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
88514,22667,18.4(b) - Junior office employees,Junior office employees,Introductory,15 years of age and under,1,,88521,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
90451,22698,19.2(b),Waiting apprentices,70% of the standard weekly rate,1st 6 months,1,,90452,1/07/2023,,4,2023-06-02T08:37:38+00:00,2023
