classification_fixed_id,base_pay_rate_id,base_rate_type,base_rate,calculated_pay_rate_id,calculated_rate_type,calculated_rate,parent_classification_name,classification,classification_level,employee_rate_type_code,operative_from,operative_to,version_number,published_year,last_modified_datetime
88481,,,,,,,,Level 5*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88520,,,,,,,,Level 2*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88493,,,,,,,,Introductory Level*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88377,,,,,,,,Introductory Level*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88444,,,,,,,,Level 2*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88475,,,,,,,,Level 4*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88561,,,,,,,,Level 5*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88449,,,,,,,,Level 3*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88609,,,,,,,,Introductory Level*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88636,,,,,,,,Level 4*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88392,,,,,,,,Level 1*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88554,,,,,,,,Level 4*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88553,,,,,,,,Level 3*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88627,,,,,,,,Level 3A*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88623,,,,,,,,Level 3*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88619,,,,,,,,Level 2*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88644,,,,,,,,Level 6*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88615,,,,,,,,Level 1*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88640,,,,,,,,Level 5*,,,2023-07-01,,3,2023,2023-06-02T08:37:38+00:00
88710,BR100545,Hourly,20.95,,,,,1st year,1,AA,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
88714,BR100549,Hourly,20.95,,,,,1st 6 months,1,AA,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
242,BR89890,Weekly,859.3,CR25739,Hourly,22.61,,Introductory level,1,AD,2023-07-01,,5,2023,2023-06-02T08:37:38+00:00
311,BR89908,Annual,56557,,,,,Managerial staff (Hotels),1,AD,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
108888,BR103719,Hourly,27.41,,,,,Level 3A,1,AD,2023-07-01,,5,2023,2023-06-19T11:07:48+00:00
292,BR89900,Weekly,882.8,CR25748,Hourly,23.23,,Introductory level,1,AD,2023-07-01,,5,2023,2023-06-02T08:37:38+00:00
108883,BR103714,Hourly,24.87,,,,,Level 3,1,AD,2023-07-01,,4,2023,2023-06-19T11:07:30+00:00
88391,BR100248,Hourly,22.61,,,,Introductory Level,20 years of age,1,AD,2023-07-01,,5,2023,2023-06-02T08:37:38+00:00
88519,BR100366,Hourly,22.61,,,,Introductory,20 years of age,1,AD,2023-07-01,,5,2023,2023-06-02T08:37:38+00:00
108887,BR103718,Hourly,26.18,,,,,Level 3,1,AD,2023-07-01,,5,2023,2023-06-19T11:07:48+00:00
88614,BR100453,Hourly,23.23,,,,Introductory level,20 years of age,1,AD,2023-07-01,,5,2023,2023-06-02T08:37:38+00:00
90436,BR102179,Weekly,547.25,CR29791,Hourly,14.4,55%,1st year,1,AP,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
90451,BR102185,Weekly,696.5,CR29796,Hourly,18.33,70% of the standard weekly rate,1st 6 months,1,AP,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
88389,BR100246,Hourly,15.83,,,,Introductory Level,18 years of age,1,JN,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
88514,BR100361,Hourly,10.17,,,,Introductory,15 years of age and under,1,JN,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
88518,BR100365,Hourly,20.35,,,,Introductory,19 years of age,1,JN,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
88390,BR100247,Hourly,19.22,,,,Introductory Level,19 years of age,1,JN,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
88612,BR100451,Hourly,16.26,,,,Introductory level,18 years of age,1,JN,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
88516,BR100363,Hourly,14.7,,,,Introductory,17 years of age,1,JN,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
91139,BR102854,Hourly,19.75,,,,Introductory level,19 years of age,1,JN,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
88379,BR100240,Hourly,13.57,,,,Introductory Level,17 years of age,1,JN,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
88515,BR100362,Hourly,12.44,,,,Introductory,16 years of age,1,JN,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
88378,BR100239,Hourly,11.31,,,,Introductory Level,16 years of age and under,1,JN,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
88517,BR100364,Hourly,16.96,,,,Introductory,18 years of age,1,JN,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
88717,BR100552,Hourly,22.26,,,,,2nd 6 months,2,AA,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
88709,BR100544,Hourly,22.61,,,,,2nd year,2,AA,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
88711,BR100546,Hourly,22.61,,,,,3rd year,2,AA,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
293,BR89901,Weekly,933.7,CR25749,Hourly,24.57,Casino electronic gaming employee grade 1,Level 1,2,AD,2023-07-01,,5,2023,2023-06-02T08:37:38+00:00
88618,BR100458,Hourly,24.57,,,,Level 1,20 years of age,2,AD,2023-07-01,,5,2023,2023-06-02T08:37:38+00:00
88442,BR100297,Hourly,23.23,,,,Level 1,20 years of age,2,AD,2023-07-01,,5,2023,2023-06-02T08:37:38+00:00
108884,BR103715,Hourly,26.18,,,,,Level 4,2,AD,2023-07-01,,4,2023,2023-06-19T11:07:30+00:00
88526,BR100373,Hourly,24.08,,,,Level 2,20 years of age,2,AD,2023-07-01,,5,2023,2023-06-02T08:37:38+00:00
243,BR89891,Weekly,882.8,CR25740,Hourly,23.23,Food and beverage attendant grade 1; Guest service grade 1; Kitchen attendant grade 1,Level 1,2,AD,2023-07-01,,5,2023,2023-06-02T08:37:38+00:00
108889,BR103720,Hourly,27.83,,,,,Level 4,2,AD,2023-07-01,,5,2023,2023-06-19T11:07:48+00:00
90437,BR102180,Weekly,646.75,CR29792,Hourly,17.02,65%,2nd year,2,AP,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
90452,BR102186,Weekly,845.75,CR29797,Hourly,22.26,85% of the standard weekly rate,2nd 6 months,2,AP,2023-07-01,,4,2023,2023-06-02T08:37:38+00:00
