penalty_fixed_id,clause_fixed_id,clause_description,classification_level,penalty_description,rate,employee_rate_type_code,penalty_calculated_value,calculated_includes_all_purpose,base_pay_rate_id,operative_from,operative_to,version_number,published_year,last_modified_datetime
5661,22733,Junior casual office employees—overtime rates,,Monday to Friday - After 2 hours,200.0,,,False,,2023-07-01,,7.0,2023,2023-08-09T16:00:02+00:00
5636,22717,Junior full-time and part-time office employees—overtime rates,,Monday to Friday - After 2 hours,200.0,,,False,,2023-07-01,,7.0,2023,2023-08-09T16:00:02+00:00
5598,22712,Junior full-time and part-time employees (other than junior office employees)—overtime rates,,Monday to Friday - after 2 hours,200.0,,,False,,2023-07-01,,7.0,2023,2023-08-09T15:57:40+00:00
5713,22729,Junior full-time and part-time casino gaming employees—overtime rates,,Monday to Friday - After 2 hours,200.0,,,False,,2023-07-01,,8.0,2023,2023-08-09T14:07:45+00:00
5661,22733,Junior casual office employees—overtime rates,,Monday to Friday - After 2 hours,200.0,,,False,,2023-07-01,,7.0,2023,2023-08-09T16:00:02+00:00
5636,22717,Junior full-time and part-time office employees—overtime rates,,Monday to Friday - After 2 hours,200.0,,,False,,2023-07-01,,7.0,2023,2023-08-09T16:00:02+00:00
5657,22732,Junior casual employees (other than junior office employees)—overtime rates,,Monday to Friday - After 2 hours,200.0,,,False,,2023-07-01,,7.0,2023,2023-08-09T15:57:40+00:00
5713,22729,Junior full-time and part-time casino gaming employees—overtime rates,,Monday to Friday - After 2 hours,200.0,,,False,,2023-07-01,,8.0,2023,2023-08-09T14:07:45+00:00
5661,22733,Junior casual office employees—overtime rates,,Monday to Friday - After 2 hours,200.0,,,False,,2023-07-01,,7.0,2023,2023-08-09T16:00:02+00:00
5636,22717,Junior full-time and part-time office employees—overtime rates,,Monday to Friday - After 2 hours,200.0,,,False,,2023-07-01,,7.0,2023,2023-08-09T16:00:02+00:00
5598,22712,Junior full-time and part-time employees (other than junior office employees)—overtime rates,,Monday to Friday - after 2 hours,200.0,,,False,,2023-07-01,,7.0,2023,2023-08-09T15:57:40+00:00
